variable,definicion,tipo,unidad,capa,archivos,construccion_notas
acumulado_inferior_ha,Límite inferior de pérdida acumulada hasta el año indicado,numérico,ha,procesada,trayectorias_fisicas.csv,Resultado inferior anual multiplicado por el número de años transcurridos
acumulado_superior_ha,Límite superior de pérdida acumulada hasta el año indicado,numérico,ha,procesada,trayectorias_fisicas.csv,Resultado superior anual multiplicado por el número de años transcurridos
ambito,Nombre del agregado territorial o analítico,texto,no aplica,procesada,completacion_nacional_resumen.csv; resultados_institucionales_nacionales.csv; resultados_dominio_recuperacion.csv; resumen_mangle_local.csv,Identifica Guatemala dominio de aplicación o aproximación local
anio,Año calendario de una trayectoria prospectiva,entero,año,procesada,trayectorias_fisicas.csv,Secuencia 2026-2035
anio_base,Año de precios o referencia del parámetro,entero,año,entrada,parametros_valoracion.csv,Se conserva según la fuente
anio_final,Año nominal final del periodo,entero,año,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,No necesariamente coincide con el intervalo efectivo usado por el estudio
anio_inicial,Año nominal inicial del periodo,entero,año,entrada y procesada,serie_historica_bosques_2022.csv; serie_historica_1991_2016.csv,No necesariamente coincide con el intervalo efectivo usado por el estudio
bajan_carbono_y_area_basal,Número de series multitemporales con disminución conjunta de carbono y área basal,entero,series,entrada,evidencia_ppm_estructural.csv,Componente de la evidencia estructural local
balance_neto_cobertura_ha,Nombre original de la pérdida neta de cobertura,numérico,ha acumuladas 2016-2020,entrada,base_forestal_2016_2020.csv,Se renombra como perdida_neta_ha al leer la base y cumple B-R
brecha_ponderacion_inferior_ha,Diferencia entre el límite inferior ponderado y la pérdida neta institucional,numérico,ha,procesada,resultados_recuperacion_municipales.csv,saldo_ponderado_inferior_ha menos perdida_neta_ha
brecha_ponderacion_superior_ha,Diferencia entre el límite superior ponderado y la pérdida neta institucional,numérico,ha,procesada,resultados_recuperacion_municipales.csv,saldo_ponderado_superior_ha menos perdida_neta_ha
bytes,Tamaño del archivo registrado,entero,bytes,metadatos,manifiesto_resultados.csv,Calculado sobre el archivo exacto
proporcion_region_id,Identificador estable de la región de referencia de las proporciones,texto,no aplica,entrada y procesada,dominio_aplicacion_recuperacion.csv; catalogo_proporciones_recuperacion.csv; resultados_recuperacion_municipales.csv,Vincula elegibilidad municipal y catálogo de proporciones
caracter,Naturaleza de la correspondencia usada para la región de referencia,texto,no aplica,entrada y procesada,catalogo_proporciones_recuperacion.csv; resultados_recuperacion_municipales.csv,Por ejemplo proxy regional operativo o sobre analítico
cambio_clasificacion,Transición entre la clasificación institucional y la ponderada,texto,categoría,procesada,municipios_cambio_clasificacion_ponderada.csv,Concatena la clase de origen y destino con una flecha
clasificacion_estructural,Clasificación del intervalo estructural local,texto,categoría,procesada,resultados_mangle_locales.csv; comparacion_local_recuperacion_mangle.csv,Pérdida si el límite inferior es positivo ganancia si el superior es negativo e indeterminado si contiene cero
clasificacion_institucional,Signo de la pérdida neta institucional,texto,categoría,procesada,resultados_institucionales_municipales.csv; resultados_recuperacion_municipales.csv; transiciones_clasificacion_ponderada.csv; municipios_cambio_clasificacion_ponderada.csv,Pérdida para valores positivos ganancia para negativos y equilibrio dentro de tolerancia
clasificacion_ponderada,Clasificación del intervalo de recuperación ponderada,texto,categoría,procesada,resultados_recuperacion_municipales.csv; comparacion_local_recuperacion_mangle.csv; transiciones_clasificacion_ponderada.csv; municipios_cambio_clasificacion_ponderada.csv,Pérdida ganancia o indeterminado según el intervalo completo
cod_dep,Código de departamento,entero,código administrativo,entrada y procesada,archivos territoriales,Se conserva como entero anulable
codigo,Código municipal,entero anulable,código administrativo,entrada y procesada,archivos territoriales,Es nulo en dos unidades lacustres y único entre municipios
codigo_municipio,Código municipal en la evidencia PPM,entero,código administrativo,entrada,evidencia_ppm_estructural.csv,Se renombra como codigo durante el cruce territorial
control,Nombre del control automático,texto,no aplica,procesada,controles_calidad.csv,Describe la condición auditada
descripcion,Descripción narrativa del escenario,texto,no aplica,entrada,escenarios_2026_2035.csv,Debe explicar qué flujos modifica
detalle,Resultado explicativo del control,texto,no aplica,procesada,controles_calidad.csv,Incluye conteo valor o condición observada
depto,Nombre del departamento,texto,no aplica,entrada y procesada,archivos territoriales,Nombre proveniente de la base territorial
dimension,Dimensión del costo ambiental contextual,texto,no aplica,entrada y procesada,costos_contextuales.csv; costos_contextuales_no_aditivos.csv,No se integra a los totales forestales
