cod_dep,depto,codigo,codigo_canonico,municipio,region_id,region_nombre,estado_dominio,proporcion_region_id,regla_id,tipo_decision,criterio_operativo,decision_manual_codificada,origen_decision,estado_evidencia,revision_ecologica,fuente_universo,fuente_intervalo,version_metodo
1,Guatemala,,,Lago de Amatitlán,UNIDAD-NO-MUN,Unidad no municipal,unidad_no_municipal,,R-NOMUN-01,unidad_no_municipal,Registro sin código municipal,no_aplica,atributo_directo_de_la_fuente,verificada_en_fuente_inab,no_aplica,INAB_DINAMICA_2016_2020,,1.0.0
1,Guatemala,101,0101,Guatemala,REG-ALT-MON,Altiplano y bosques montanos,fuera_dominio_altiplano_montano,,R-RESIDUAL-01,regla_residual,Código municipal no incluido en ninguna de las cinco listas de correspondencia,si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,,1.0.0
1,Guatemala,102,0102,Santa Catarina Pinula,REG-ALT-MON,Altiplano y bosques montanos,fuera_dominio_altiplano_montano,,R-RESIDUAL-01,regla_residual,Código municipal no incluido en ninguna de las cinco listas de correspondencia,si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,,1.0.0
1,Guatemala,103,0103,San José Pinula,REG-ALT-MON,Altiplano y bosques montanos,fuera_dominio_altiplano_montano,,R-RESIDUAL-01,regla_residual,Código municipal no incluido en ninguna de las cinco listas de correspondencia,si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,,1.0.0
1,Guatemala,104,0104,San José del Golfo,REG-SEC-MOT,Corredor seco y valle del Motagua,elegible_recuperacion_20_anios,REG-SEC-MOT,R-SEC-MOT-01,lista_explicita,"Valles secos interiores, Motagua y Salamá-Chixoy",si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,POORTER_ET_AL_2016,1.0.0
1,Guatemala,105,0105,Palencia,REG-SEC-MOT,Corredor seco y valle del Motagua,elegible_recuperacion_20_anios,REG-SEC-MOT,R-SEC-MOT-01,lista_explicita,"Valles secos interiores, Motagua y Salamá-Chixoy",si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,POORTER_ET_AL_2016,1.0.0
1,Guatemala,106,0106,Chinautla,REG-ALT-MON,Altiplano y bosques montanos,fuera_dominio_altiplano_montano,,R-RESIDUAL-01,regla_residual,Código municipal no incluido en ninguna de las cinco listas de correspondencia,si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,,1.0.0
1,Guatemala,107,0107,San Pedro Ayampuc,REG-SEC-MOT,Corredor seco y valle del Motagua,elegible_recuperacion_20_anios,REG-SEC-MOT,R-SEC-MOT-01,lista_explicita,"Valles secos interiores, Motagua y Salamá-Chixoy",si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,POORTER_ET_AL_2016,1.0.0
1,Guatemala,108,0108,Mixco,REG-ALT-MON,Altiplano y bosques montanos,fuera_dominio_altiplano_montano,,R-RESIDUAL-01,regla_residual,Código municipal no incluido en ninguna de las cinco listas de correspondencia,si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,,1.0.0
1,Guatemala,109,0109,San Pedro Sacatepéquez,REG-ALT-MON,Altiplano y bosques montanos,fuera_dominio_altiplano_montano,,R-RESIDUAL-01,regla_residual,Código municipal no incluido en ninguna de las cinco listas de correspondencia,si,procedimiento_reconstruido,correspondencia_territorial_experta_codificada,pendiente,INAB_DINAMICA_2016_2020,,1.0.0
